HS Code,Commodity,Value,Date,Growth
01,LIVE ANIMALS.,0.00,2014-01-01,
02,MEAT AND EDIBLE MEAT OFFAL.,232.90,2014-01-01,41.82
03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",87.31,2014-01-01,122.82
04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",4.68,2014-01-01,-21.11
05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.49,2014-01-01,137.01
06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.61,2014-01-01,129.13
07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,8.77,2014-01-01,-35.67
08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,5.51,2014-01-01,24.43
09,"COFFEE, TEA, MATE AND SPICES.",36.59,2014-01-01,16.01
10,CEREALS.,93.28,2014-01-01,-30.18
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,4.02,2014-01-01,-8.80
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",44.83,2014-01-01,-28.28
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",2.80,2014-01-01,-26.53
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.08,2014-01-01,"3,108.33"
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,3.44,2014-01-01,-1.46
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.08,2014-01-01,44.21
17,SUGARS AND SUGAR CONFECTIONERY.,3.28,2014-01-01,318.07
18,COCOA AND COCOA PREPARATIONS.,0.75,2014-01-01,-7.10
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1.21,2014-01-01,-30.61
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",1.31,2014-01-01,39.70
21,MISCELLANEOUS EDIBLE PREPARATIONS.,6.38,2014-01-01,63.39
22,"BEVERAGES, SPIRITS AND VINEGAR.",1.75,2014-01-01,-40.80
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,58.99,2014-01-01,-50.43
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,10.00,2014-01-01,-1.33
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",10.11,2014-01-01,1.77
26,"ORES, SLAG AND ASH.",4.07,2014-01-01,"54,161.33"
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",396.98,2014-01-01,-25.87
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",8.72,2014-01-01,-26.28
29,ORGANIC CHEMICALS,123.29,2014-01-01,-25.97
30,PHARMACEUTICAL PRODUCTS,48.84,2014-01-01,7.84
31,FERTILISERS.,2.08,2014-01-01,86.91
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",24.94,2014-01-01,16.60
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",10.71,2014-01-01,-1.53
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",2.59,2014-01-01,-5.12
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2.90,2014-01-01,61.40
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,1.34,2014-01-01,
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.44,2014-01-01,33.45
